"user","longitude","latitude","hour_taken","day_taken","month_taken","year_taken","First*(id)","Unique concatenate(hashtags)","Unique concatenate(legend)","First*(minutes_taken)","First*(hour_uploaded)","First*(day_uploaded)","First*(month_uploaded)","First*(year_uploaded)","First*(url)","longitude_normalized"
"24673349@N03",4.8237,45.72,20,30,11,2010,5.294736132E9,"winter,light,snow,cold,ice,fog,night,factory,lyon,lumière,smoke,hiver,neige,nuit,froid,brouillard,usine,glace,fumée,wwwolivierramonteufr","<strong><a href=http://blog.olivier-ramonteu.fr/index.php?post/2011/01/11/Les-Usines rel=
ofollow>Lintégralité de la série est en ligne sur mon blog</a></strong>

&quot;(...)
Et tout autour, ainsi quune ceinture,
Là-bas, de nocturnes architectures,
Voici les docks, les ports, les ponts, les phares
Et les gares folles de tintamarres ;
Et plus lointains encor des toits dautres usines
Et des cuves et des forges et des cuisines
Formidables de naphte et de résines
Dont les meutes de feu et de lueurs grandies
Mordent parfois le ciel, à coups dabois et dincendies.
(...)&quot;
Paul Verhaeren, <em>Les usines</em>


---

<strong><a href=http://www.olivier-ramonteu.fr rel=
ofollow>Website</a>  |  <a href=http://www.facebook.com/pages/Olivier-Ramonteu/119595607477 rel=
ofollow>Facebook</a>  |  <a href=http://www.flickr.com/photos/bardamu_13>Flickr</a>  |  <a href=http://bardamu-13.deviantart.com/ rel=
ofollow>Deviant art</a>  | <a href=http://twitter.com/oramonteu rel=
ofollow>Twitter</a></strong>


<b>Tous droits réservés / All rights reserved - No use without authorization</b>",45,22,26,12,2010,"http://farm6.staticflickr.com/5003/5294736132_86a61f5e7f_t.jpg",6.8931
"24673349@N03",4.829,45.759,15,27,12,2010,5.401013273E9,"mélancolie,melancholia,melancolie,mélancolique,portrait,nb,bw,noiretblanc,blackandwhite,femme,woman,girl,fille,robe,dress,escaliers,stairs,lignes,lines,balloons,ballons,wwwolivierramonteufr,ivanna,conceptuel,conceptual","<b>- Exposition en mars à Grenoble (expo organisée par CazArt)
- Exposition en juillet au Palais de Justice de Lyon</b>

(Exhibition by CazArt in Grenoble, march
Exhibition in Lyon, july)


---

<strong><a href=http://www.olivier-ramonteu.fr rel=
ofollow>Website</a>  |  <a href=http://www.facebook.com/pages/Olivier-Ramonteu/119595607477 rel=
ofollow>Facebook</a>  |  <a href=http://www.flickr.com/photos/bardamu_13>Flickr</a>  |  <a href=http://bardamu-13.deviantart.com/ rel=
ofollow>Deviant art</a>  | <a href=http://twitter.com/oramonteu rel=
ofollow>Twitter</a></strong>


<b>Tous droits réservés / All rights reserved - No use without authorization</b>",40,17,30,1,2011,"http://farm6.staticflickr.com/5295/5401013273_e88f064282_t.jpg",6.9006
"24706443@N02",4.8275,45.762,20,11,12,2011,6.495228649E9,"france,lyon,rhone","?",10,22,11,12,2011,"http://farm8.staticflickr.com/7144/6495228649_d8b5557ebe_t.jpg",6.8985
"24753829@N07",4.827,45.763,3,17,8,2009,4.358189203E9,"france,lyon,vieuxlyon,rueduboeuf","?",3,8,15,2,2010,"http://farm5.staticflickr.com/4047/4358189203_c0cbc7377e_t.jpg",6.8978
"24753829@N07",4.8272,45.754,7,24,8,2009,4.358128515E9,"france,lyon,ainay,basiliquedainay","?",9,7,15,2,2010,"http://farm3.staticflickr.com/2704/4358128515_d02f5515e9_t.jpg",6.8981
"24753829@N07",4.8297,45.759,7,16,8,2009,4.358187279E9,"france,lyon,fourvière,vieuxlyon,cathédralesaintjeanbaptistedelyon","?",22,8,15,2,2010,"http://farm3.staticflickr.com/2734/4358187279_82151e2c86_t.jpg",6.9016
"24862929@N02",4.8271,45.761,15,24,9,2011,6.283597905E9,"light,france,luz,geotagged,candles,lyon,frança,velas,vieuxlyon,cathédralesaintjean,2011,christianbaudet","?",57,19,26,10,2011,"http://farm7.staticflickr.com/6055/6283597905_6c42d21854_t.jpg",6.8979
"24862929@N02",4.8277,45.751,14,4,12,2011,6.783425467E9,"france,geotagged,lyon,frança,marchédenoël,perrache,soapbubble,2011,christianbaudet","Little performance during the Marché de Noel à Lyon",17,17,29,1,2012,"http://farm8.staticflickr.com/7006/6783425467_a1058ef34b_t.jpg",6.8988
"24862929@N02",4.8322,45.758,12,16,5,2009,3.576384617E9,"geotagged,lyon,2009,louisxiv,placebellecour,christianbaudet","?",40,21,29,5,2009,"http://farm4.staticflickr.com/3315/3576384617_65e391f46c_t.jpg",6.9052
"24862929@N02",4.8495,45.78,19,4,9,2011,6.275804291E9,"france,geotagged,leaf,lyon,frança,folhagem,2011,parcdelatêtedor,christianbaudet","?",16,11,24,10,2011,"http://farm7.staticflickr.com/6057/6275804291_61d512d997_t.jpg",6.9299
"24862929@N02",4.8521,45.777,17,22,5,2011,5.958827847E9,"france,flower,rose,geotagged,lyon,flor,rosa,frança,2011,roseraie,parctêtedor,christianbaudet,lapetiteroseraieduparcdelatêtedor","?",4,22,20,7,2011,"http://farm7.staticflickr.com/6136/5958827847_b963128f76_t.jpg",6.9337
"24862929@N02",4.8568,45.778,16,28,2,2010,4.468209734E9,"geotagged,zoo,lyon,2010,parctêtedor,christianbaudet","Spring is a really nice time. Not so cold, not so hot. Flowers everywhere.",18,21,27,3,2010,"http://farm5.staticflickr.com/4059/4468209734_d1125732e8_t.jpg",6.9404
"24862929@N02",4.8572,45.778,15,13,3,2012,9.358908427E9,"france,geotagged,lyon,frança,leopard,2012,parcdelatêtedor,christianbaudet","?",40,20,24,7,2013,"http://farm4.staticflickr.com/3771/9358908427_1538283036_t.jpg",6.9409
"24885556@N05",4.8287,45.769,0,24,5,2009,3.558493956E9,"noiretblanc,tag,police,rue,mur,politique,sarkozy","Un tag engagé sur un mur de Lyon",9,2,24,5,2009,"http://farm3.staticflickr.com/2436/3558493956_d0b893410d_t.jpg",6.9002
"24895860@N00",4.8636,45.737,16,12,5,2007,4.95932838E8,"capucine,chonchons","?",7,10,13,5,2007,"http://farm1.staticflickr.com/193/495932838_da93e21c91_t.jpg",6.9501
"24895860@N00",4.8636,45.737,19,21,2,2007,4.95965857E8,"capucine,chonchons,shellsy","?",49,10,13,5,2007,"http://farm1.staticflickr.com/222/495965857_9c1a36bf68_t.jpg",6.9501
"24918805@N05",4.8538,45.763,10,10,9,2012,7.96951869E9,"blackandwhite,france,rock,skateboarding,lyon,bs,lione,lion,n,spot,skate,roll,vulcan,minoltasrt101,biancoenero,skateboarder,2012,massimiliano,preda,cameraoscura,vulcani,bergamofescion,mcfisheyerokkorok","?",36,8,10,9,2012,"http://farm9.staticflickr.com/8460/7969518690_9af53934fc_t.jpg",6.9361
"24956335@N04",4.8303,45.761,20,24,3,2011,5.556658678E9,"sky,120,film,analog,lyon,seagull","Lyon",2,9,25,3,2011,"http://farm6.staticflickr.com/5135/5556658678_1965327a08_t.jpg",6.9025
"24968900@N08",4.8234,45.745,17,1,12,2012,8.240004479E9,"?","Lyon, cours Charlemagne",54,8,3,12,2012,"http://farm9.staticflickr.com/8205/8240004479_e706b7ddc0_t.jpg",6.8926
"24968900@N08",4.8361,45.757,15,9,9,2012,7.979668027E9,"?","?",49,15,12,9,2012,"http://farm9.staticflickr.com/8033/7979668027_af7714bef9_t.jpg",6.9108
"24968900@N08",4.8821,45.758,15,6,12,2012,8.251179772E9,"?","Villeurbanne",59,22,6,12,2012,"http://farm9.staticflickr.com/8062/8251179772_6c48f6f5a0_t.jpg",6.9765
"25028639@N05",4.8331,45.768,17,23,12,2010,5.287140569E9,"longexposure,france,twilight,lyon,bluehour,365,francia,hôteldeville,placedesterreaux,terreaux,largaexposicion,poselongue,heurebleue,horamagica,horaazul,70c9b1acbdd549b696ed432ae5f00211,gettyimagesfranceq1","<b> Merry Christmas to you my friends, I hope you have lots of happiness. My best whises are for you !!
Sincerely

Joyeux noël à vous tous mes amis, jespère que vous aurez plein de bonheur en compagnie de tous vos êtres chers. 

Sincèrement

Feliz navidad mis estimados amigos, espero que esta navidad sea de lo mejor, en compañia de sus seres queridos. Mis mejores deseos

Sinceramente 


Eloy RICARDEZ LUNA</b> 

<b>Thanks for you faves, notes or comments (in any language), I appreciate.</b>

<u>1 picture taken every day and posted the next day </u> 

10mm 3,0 s à f/13 ISO400

<i>No Flashy Icons, Group Invites and Self Promoting comments - They will be deleted.</i>",6,9,24,12,2010,"http://farm6.staticflickr.com/5167/5287140569_5918a0dee2_t.jpg",6.9065
"25110677@N03",4.8193,45.763,21,21,3,2012,7.016830439E9,"france,lyon,rhône,rhônealpes","?",59,6,26,3,2012,"http://farm8.staticflickr.com/7048/7016830439_eabff20a7e_t.jpg",6.8868
"25110677@N03",4.822,45.761,21,21,3,2012,7.018584813E9,"france,lyon,rhône,rhônealpes","?",7,19,26,3,2012,"http://farm8.staticflickr.com/7178/7018584813_7f0c776130_t.jpg",6.8906
"25110677@N03",4.8268,45.762,19,21,3,2012,7.016792769E9,"france,lyon,rhône,rhônealpes","?",42,6,26,3,2012,"http://farm8.staticflickr.com/7266/7016792769_e3216c84f2_t.jpg",6.8975
"25110677@N03",4.8271,45.761,19,21,3,2012,6.870586342E9,"france,lyon,rhône,rhônealpes","?",13,5,26,3,2012,"http://farm8.staticflickr.com/7070/6870586342_17e3a8ebab_t.jpg",6.8979
"25110677@N03",4.83,45.771,17,22,3,2012,7.019336489E9,"france,lyon,rhône,rhônealpes","?",5,0,27,3,2012,"http://farm8.staticflickr.com/7073/7019336489_7a95fb1d91_t.jpg",6.9021
"25110677@N03",4.8318,45.76,14,22,3,2012,6.872948274E9,"france,lyon,rhône,rhônealpes","?",39,22,26,3,2012,"http://farm7.staticflickr.com/6213/6872948274_02d92ddf3f_t.jpg",6.9046
"25110677@N03",4.8368,45.769,19,22,3,2012,6.873114274E9,"france,lyon,rhône,rhônealpes","?",4,23,26,3,2012,"http://farm8.staticflickr.com/7105/6873114274_5e3d77b647_t.jpg",6.9118
"25110677@N03",4.8519,45.762,20,22,3,2012,6.873214748E9,"france,lyon,rhône,rhônealpes","?",15,0,27,3,2012,"http://farm8.staticflickr.com/7272/6873214748_515bd77098_t.jpg",6.9334
"25154132@N02",4.8377,45.871,16,27,10,2011,6.511885031E9,"?","?",42,18,14,12,2011,"http://farm8.staticflickr.com/7002/6511885031_93aeb3c4ce_t.jpg",6.9131
"25172725@N04",4.8349,45.757,2,30,3,2008,2.387451259E9,"?","?",24,19,4,4,2008,"http://farm3.staticflickr.com/2284/2387451259_38ffcd635c_t.jpg",6.9091
"25186900@N03",4.8114,45.771,17,27,2,2011,5.481906649E9,"food,pie,chocolate,tarte,chocolat,project365,2011inphotos","Il ne fait pas beau comme je laurai espéré aujourdhui, donc je continue sur le food pr0n. :D Tarte au chocolat faite maison, avec la recette de maman. &lt;3",11,16,27,2,2011,"http://farm6.staticflickr.com/5251/5481906649_a8c13e70f5_t.jpg",6.8755
"25186900@N03",4.8114,45.771,21,10,2,2011,5.434592516E9,"bag,sac,zip,eclair,fermeture,project365,2011inphotos","Si quelquun trouve lidée tordue que javais en prenant cette photo, je serai content... :D

Départ pour 3 jours en montagne demain matin, donc les prochaines photos arriveront en retard, dimanche soir ou lundi... Mais elles seront surement mieux que dhabitude... :)",45,20,10,2,2011,"http://farm5.staticflickr.com/4080/5434592516_2bce8987ac_t.jpg",6.8755
"25186900@N03",4.823,45.763,19,24,1,2011,5.38578984E9,"panorama,lights,lyon,lumieres,project365,2011inphotos","Panorama de Lyon en 12mm ce soir. :)",20,21,24,1,2011,"http://farm6.staticflickr.com/5212/5385789840_e636ab1cbd_t.jpg",6.8921
"25186900@N03",4.8323,45.77,20,21,1,2011,5.376052105E9,"game,plateau,board,zombies,jeu,project365,2011inphotos","Ce soir on a joué à quelques jeux de société à lassociation <a href=http://debitdejeux.fr/ rel=
ofollow>Moi jmen fous je triche</a>, où lambiance est très sympa dailleurs, et où on nous sert aussi de la bière. :D Et donc on a joué entre autres à « Zombiez » dont voici une photo en milieu de partie avant que je me fasse bouffer. :(",54,23,21,1,2011,"http://farm6.staticflickr.com/5008/5376052105_4680698e82_t.jpg",6.9054
"25186900@N03",4.8407,45.744,19,14,2,2011,5.445580729E9,"colors,rain,night,lights,lyon,couleurs,pluie,nuit,lumieres,project365,2011inphotos","Pluvieux ce soir, avec des reflets colorés à la gare Jean Macé.",14,20,14,2,2011,"http://farm6.staticflickr.com/5094/5445580729_d16b0d5197_t.jpg",6.9174
"25186900@N03",4.8413,45.745,19,27,1,2011,5.393745077E9,"railroad,night,train,wagon,lyon,gare,tag,rail,nuit,project365,2011inphotos","Gare Jean Macé à Lyon. Jaimerai bien faire un tour dans lancien technicentre de lautre coté de la voie. :)

Note : le batiment lumineux derrière, ce sont les bureaux de M6 Web, entre autres, où je bosse. :)",17,23,27,1,2011,"http://farm6.staticflickr.com/5060/5393745077_3d11bf9583_t.jpg",6.9182
"25230924@N08",4.8335,45.768,18,27,6,2010,4.87015234E9,"bw,france,frankreich,lyon,brunnen,fontaine,placedesterreaux,schwarzweis,urlaub2010","Place des Terreaux",42,22,7,8,2010,"http://farm5.staticflickr.com/4082/4870152340_9f2c396681_t.jpg",6.9071
"25287211@N08",4.8536,45.779,19,7,12,2007,2.385474912E9,"urban,color,architecture,night,lights,nikon,long,exposure,lyon,8,bleu,exposition,fete,lumiere,cube,cubes,nuit,fosse,quai,couleur,lumieres,2007,ours,decembre,urbain,rhone,longue,fetedeslumieres,d80","Fête des lumières - Lyon, 8 décembre 2007.",30,14,3,4,2008,"http://farm3.staticflickr.com/2340/2385474912_2b7b3b4ffb_t.jpg",6.9358
"25415025@N08",4.785,45.748,18,21,3,2009,3.373403828E9,"france,iphone,rhonealpes,airme","Travaux en cours pour le ravalement de façade de la maison de mes beaux-parents.",41,17,21,3,2009,"http://farm4.staticflickr.com/3570/3373403828_7a516a3e90_t.jpg",6.8378
"25473605@N00",4.8273,45.763,0,20,12,2009,4.197968697E9,"?","Dessert - <a href=http://brightkite.com/objects/3bbc58da36badd18ba68ffdbc38b0578 rel=
ofollow>from Brightkite</a>",20,23,19,12,2009,"http://farm3.staticflickr.com/2668/4197968697_986935c127_t.jpg",6.8982
"25473605@N00",4.8307,45.768,20,20,5,2010,5.097114988E9,"?","?",36,15,19,10,2010,"http://farm5.staticflickr.com/4092/5097114988_40ef68fefd_t.jpg",6.9031
"25473605@N00",4.8318,45.766,0,24,7,2009,3.837077136E9,"?","?",10,14,19,8,2009,"http://farm3.staticflickr.com/2580/3837077136_0d85023856_t.jpg",6.9046
"25473605@N00",4.8361,45.767,0,28,2,2009,3.315199972E9,"?","Night out",37,23,27,2,2009,"http://farm4.staticflickr.com/3612/3315199972_5ecc3b2360_t.jpg",6.9108
"25473605@N00",4.8368,45.767,0,5,8,2009,3.79033604E9,"?","bistrot",1,22,4,8,2009,"http://farm3.staticflickr.com/2430/3790336040_2365104944_t.jpg",6.9118
"25473605@N00",4.8387,45.736,1,31,10,2007,1.805802837E9,"?","?",30,0,31,10,2007,"http://farm3.staticflickr.com/2182/1805802837_c444115f26_t.jpg",6.9145
"25473605@N00",4.8387,45.736,13,18,8,2009,3.836335789E9,"?","?",8,14,19,8,2009,"http://farm3.staticflickr.com/2619/3836335789_40913a255b_t.jpg",6.9145
"25473605@N00",4.8387,45.736,17,4,9,2007,1.324321018E9,"?","?",4,21,4,9,2007,"http://farm2.staticflickr.com/1279/1324321018_2339ef7ddd_t.jpg",6.9145
"25473605@N00",4.839,45.735,10,18,12,2009,4.259774907E9,"?","?",5,21,9,1,2010,"http://farm5.staticflickr.com/4053/4259774907_011903c131_t.jpg",6.9149
"25473605@N00",4.871,45.781,18,15,2,2010,5.096293877E9,"?","?",2,14,19,10,2010,"http://farm5.staticflickr.com/4086/5096293877_7913f06e57_t.jpg",6.9607
"25473605@N00",4.876,45.752,23,30,5,2009,3.61856009E9,"?","?",58,2,12,6,2009,"http://farm4.staticflickr.com/3334/3618560090_e7bcbe66a1_t.jpg",6.9678
"25473605@N00",4.8787,45.753,23,30,5,2009,3.617737661E9,"?","?",58,2,12,6,2009,"http://farm4.staticflickr.com/3412/3617737661_2913c4567e_t.jpg",6.9717
"25583165@N04",4.8332,45.761,21,8,12,2008,3.095222784E9,"voyage,travel,light,vacation,streetart,france,art,night,google,nikon,holidays,flickr,lyon,lumière,illumination,rhône,event,getty,geography,rue,2008,turismo,nuit,cultural,tourismus,lumières,lyons,tourismo,fêtedeslumières,région,grandlyon,d90,rhônealpes,nikkor18200vr,géographie,appert,nikond90,manuelappert,gifranceaug","?",39,8,9,12,2008,"http://farm4.staticflickr.com/3209/3095222784_f5c530c6e9_t.jpg",6.9066
"25583165@N04",4.8403,45.756,21,10,9,2008,2.847374505E9,"city,france,google,flickr,cityscape,lyon,rhône,getty,francia,nuit,ville,néons,lyons,région,grandlyon,rhônealpes,mutualité,appert,manuelappert,gifranceaug","?",45,9,11,9,2008,"http://farm4.staticflickr.com/3139/2847374505_f42817e800_t.jpg",6.9168
"25583165@N04",4.8415,45.745,11,21,3,2009,3.372314385E9,"city,france,architecture,train,google,nikon,flickr,lyon,gare,rail,ciudad,rhône,getty,pont,francia,ville,grue,fer,citta,gerland,viaduc,ornement,urbanisme,métropole,région,d90,rhônealpes,bwdreams,jeanmacé,nikkor18200vr,appert,nikond90,manuelappert,halteferroviairejeanmacé,gifranceaug, city,france,architecture,train,google,nikon,flickr,lyon,gare,rail,ciudad,rhône,getty,pont,francia,ville,grue,fer,citta,gerland,viaduc,ornement,urbanisme,métropole,région,d90,rhônealpes,jeanmacé,nikkor18200vr,appert,nikond90,manuelappert,halteferroviairejeanmacé,gifranceaug, france,station,google,nikon,flickr,lyon,transport,tram,rhône,getty,kiosque,publictransport,transportencommun,francia,tramway,transporation,arrêt,région,d90,rhônealpes,jeanmacé,nikkor18200vr,nikond90,transportcollectif,gifranceaug, street,city,france,architecture,train,graffiti,google,nikon,flickr,lyon,gare,rail,ciudad,rhône,getty,pont,rue,francia,streetscape,ville,fer,citta,gerland,viaduc,ornement,urbanisme,métropole,région,d90,rhônealpes,jeanmacé,nikkor18200vr,appert,nikond90,manuelappert,halteferroviairejeanmacé,gifranceaug, street,city,france,architecture,train,google,nikon,flickr,lyon,gare,rail,ciudad,rhône,roller,getty,pont,skater,rue,francia,streetscape,ville,grue,fer,rollerskate,citta,gerland,viaduc,ornement,urbanisme,métropole,région,d90,rhônealpes,jeanmacé,nikkor18200vr,appert,nikond90,manuelappert,halteferroviairejeanmacé,gifranceaug","?",10,15,21,3,2009,"http://farm4.staticflickr.com/3457/3372314385_1a3e84630e_t.jpg",6.9185
"25583165@N04",4.843,45.747,18,6,10,2008,2.934898469E9,"roof,france,skyline,google,flickr,tour,lyon,rhône,artdeco,toit,francia,basilique,artdéco,fourvière,appert,manuelappert","?",32,20,12,10,2008,"http://farm4.staticflickr.com/3237/2934898469_f12148b624_t.jpg",6.9206
"25602037@N08",4.8219,45.763,18,10,12,2011,6.662333145E9,"lyon,des,2011,lumie?res,fe?te","Fête des lumières - Lyon 2011",18,22,8,1,2012,"http://farm8.staticflickr.com/7026/6662333145_a258ca41a2_t.jpg",6.8905
"25602037@N08",4.832,45.758,17,7,11,2010,6.018449063E9,"place,lyon,bellecour","Place Bellecour Lyon",0,18,7,8,2011,"http://farm7.staticflickr.com/6133/6018449063_4e6e9844f8_t.jpg",6.9049
"25602037@N08",4.832,45.758,20,7,12,2013,1.2011104246E10,"night,lights,lyon,fêtedeslumières,vision:outdoor=0911,vision:dark=0687, night,lights,lyon,fêtedeslumières,vision:mountain=0762,vision:plant=0607,vision:outdoor=0638,vision:sky=0823","Fête des lumières 2013 - Lyon",53,12,18,1,2014,"http://farm8.staticflickr.com/7310/12011104246_44a58beaa6_t.jpg",6.9049
"25602037@N08",4.8347,45.759,19,12,2,2011,5.51775604E9,"cinema,vintage,pathe,johnslens,hipstamatic,blankofilm,themacallanrealtimephotograperhipstamaticcontestentry","?",8,16,11,3,2011,"http://farm6.staticflickr.com/5171/5517756040_55fba52524_t.jpg",6.9088
"25602037@N08",4.8394,45.756,16,10,3,2012,6.82645898E9,"de,lyon,rhône,quai","?",51,14,11,3,2012,"http://farm8.staticflickr.com/7210/6826458980_8cab6ff8ea_t.jpg",6.9155
"25602037@N08",4.8406,45.761,19,8,12,2011,6.662312713E9,"lyon,des,2011,lumie?res,fe?te","Fête des lumières - Lyon 2011",8,21,8,1,2012,"http://farm8.staticflickr.com/7154/6662312713_a5bd24d89c_t.jpg",6.9172
"25681820@N03",4.8224,45.762,3,27,11,2006,2.417036854E9,"panorama,france,church,lyon,basilica,360,panoramic,basilique,fourviere","Lyon, France",4,18,15,4,2008,"http://farm4.staticflickr.com/3007/2417036854_84ca2fb62f_t.jpg",6.8912
"25700229@N07",4.8094,45.772,23,27,11,2008,3.07170309E9,"?","?",59,17,30,11,2008,"http://farm4.staticflickr.com/3002/3071703090_6e7f0e1aa6_t.jpg",6.8726
"25700229@N07",4.813,45.767,17,21,6,2008,2.603598919E9,"lyon","?",18,14,23,6,2008,"http://farm4.staticflickr.com/3266/2603598919_5c851065fb_t.jpg",6.8778
"25700229@N07",4.8211,45.756,16,21,6,2008,2.603401359E9,"lyon","?",41,12,23,6,2008,"http://farm4.staticflickr.com/3199/2603401359_88178a11f3_t.jpg",6.8894
"25700229@N07",4.8211,45.756,17,21,6,2008,2.60433718E9,"lyon","?",0,13,23,6,2008,"http://farm4.staticflickr.com/3245/2604337180_c057757164_t.jpg",6.8894
"25700229@N07",4.8273,45.767,21,29,4,2008,2.45463562E9,"lyon,wallace,apéro","?",15,13,30,4,2008,"http://farm4.staticflickr.com/3114/2454635620_b89ecc59b3_t.jpg",6.8982
"25700229@N07",4.8298,45.76,23,5,12,2008,3.093050542E9,"lyon,2008,fêtedeslumières","?",22,15,8,12,2008,"http://farm4.staticflickr.com/3273/3093050542_b45a73f776_t.jpg",6.9018
"25700229@N07",4.8303,45.769,14,16,7,2008,2.6742561E9,"night,lyon, lyon,rencontreflickr, night,lyon,nuit, lyon,rencontreflickr,lyon6bleublancrouge","Place Sathonay, ?, (Place Sathonay), ... Amélie !, (place Sathonay)",27,12,16,7,2008,"http://farm4.staticflickr.com/3187/2674256100_a6ddf2fbab_t.jpg",6.9025
"25700229@N07",4.8327,45.764,23,5,12,2008,3.093049372E9,"lyon,2008,fêtedeslumières","?",17,15,8,12,2008,"http://farm4.staticflickr.com/3073/3093049372_89b9260abf_t.jpg",6.9059
"25700229@N07",4.8329,45.765,23,5,12,2008,3.092201793E9,"lyon,2008,fêtedeslumières","?",0,15,8,12,2008,"http://farm4.staticflickr.com/3290/3092201793_faf00d69de_t.jpg",6.9062
"25700229@N07",4.8329,45.77,22,8,7,2008,2.651730513E9,"lyon,safariphoto","?",34,8,9,7,2008,"http://farm3.staticflickr.com/2305/2651730513_c6c6f14449_t.jpg",6.9062
"25700229@N07",4.8336,45.767,12,16,7,2008,2.673279317E9,"lyon,rencontreflickr","?",38,10,16,7,2008,"http://farm4.staticflickr.com/3187/2673279317_f2eab0e22c_t.jpg",6.9072
"25700229@N07",4.8336,45.767,18,15,7,2008,2.670995745E9,"lyon,rencontreflickr","?",28,16,15,7,2008,"http://farm4.staticflickr.com/3219/2670995745_3a6ff93dd3_t.jpg",6.9072
"25700229@N07",4.8357,45.763,21,6,10,2008,2.918919095E9,"night,lyon","?",48,19,6,10,2008,"http://farm4.staticflickr.com/3074/2918919095_915c6fc8cb_t.jpg",6.9102
"25700229@N07",4.8359,45.765,16,10,11,2008,3.039929335E9,"?","?",9,8,18,11,2008,"http://farm4.staticflickr.com/3149/3039929335_b70c6998b6_t.jpg",6.9105
"25700229@N07",4.8369,45.767,20,9,8,2008,2.747555222E9,"flickr,lyon","?",39,18,9,8,2008,"http://farm3.staticflickr.com/2412/2747555222_57edb47da1_t.jpg",6.9119
"25700229@N07",4.8419,45.769,22,5,12,2008,3.092180913E9,"lyon,2008,fêtedeslumières","?",14,15,8,12,2008,"http://farm4.staticflickr.com/3168/3092180913_9d3fbc0883_t.jpg",6.9191
"25700229@N07",4.846,45.766,20,6,10,2008,2.918753837E9,"?","?",45,18,6,10,2008,"http://farm4.staticflickr.com/3019/2918753837_54fde3a316_t.jpg",6.9249
"25700229@N07",4.8464,45.777,23,7,12,2008,3.092236057E9,"lyon,2008,fêtedeslumières","?, (A lentrée)",50,15,8,12,2008,"http://farm4.staticflickr.com/3118/3092236057_a1b4444f36_t.jpg",6.9255
"25700229@N07",4.8504,45.781,11,10,9,2008,2.844786313E9,"vacances,lyon","?",35,9,10,9,2008,"http://farm4.staticflickr.com/3239/2844786313_1675e38987_t.jpg",6.9312
"25700229@N07",4.8513,45.78,11,10,9,2008,2.845616558E9,"vacances,lyon","?",32,9,10,9,2008,"http://farm4.staticflickr.com/3005/2845616558_03a523b81b_t.jpg",6.9325
"25700229@N07",4.8527,45.777,16,14,6,2008,2.584567658E9,"lyon,parcdelatêtedor","(Parc de la tête dOr, Lyon)",40,16,16,6,2008,"http://farm4.staticflickr.com/3083/2584567658_a03bbf0bf0_t.jpg",6.9345
"25700229@N07",4.856,45.769,17,10,11,2008,3.02511546E9,"kitten,kawai,chattes,chatounes","?",2,14,12,11,2008,"http://farm4.staticflickr.com/3219/3025115460_a38a59da90_t.jpg",6.9392
"25700229@N07",4.8574,45.765,14,2,5,2008,2.474141976E9,"divers","(aux brotteaux, boulevard des brotteaux)",56,16,7,5,2008,"http://farm4.staticflickr.com/3149/2474141976_e3bd76180a_t.jpg",6.9412
"25700229@N07",4.8618,45.764,16,15,7,2008,2.67156704E9,"night,flickr,lyon","?",51,14,15,7,2008,"http://farm4.staticflickr.com/3055/2671567040_92efbb61c1_t.jpg",6.9475
"25700229@N07",4.8672,45.764,19,20,4,2008,2.448044909E9,"cricky","?",12,10,28,4,2008,"http://farm3.staticflickr.com/2134/2448044909_594a17052f_t.jpg",6.9552
"25700229@N07",4.8741,45.785,8,17,10,2008,3.039945255E9,"?","?",9,9,18,11,2008,"http://farm4.staticflickr.com/3173/3039945255_433e9a67c6_t.jpg",6.9651
"25700229@N07",4.8798,45.783,13,5,12,2008,3.09301743E9,"?","?",45,15,8,12,2008,"http://farm4.staticflickr.com/3151/3093017430_661154950e_t.jpg",6.9732
"25726211@N08",4.7306,45.76,18,4,9,2008,2.828532316E9,"iphone,flickup","Uploaded with Flickup on iPhone.",24,17,4,9,2008,"http://farm4.staticflickr.com/3235/2828532316_7c14690dce_t.jpg",6.76
"25726211@N08",4.7826,45.754,11,31,8,2008,2.813849666E9,"iphone,flickup","Uploaded with Flickup on iPhone.",53,10,31,8,2008,"http://farm4.staticflickr.com/3288/2813849666_2603e19bed_t.jpg",6.8343
"25726211@N08",4.7826,45.754,12,30,8,2008,2.811045084E9,"iphone,flickup","Uploaded with Flickup on iPhone.",39,11,30,8,2008,"http://farm4.staticflickr.com/3074/2811045084_5afba5eabe_t.jpg",6.8343
"25726211@N08",4.9575,45.685,15,28,8,2008,2.805282665E9,"iphone,flickup","Uploaded with Flickup on iPhone.",6,14,28,8,2008,"http://farm4.staticflickr.com/3166/2805282665_ccdf13a679_t.jpg",7.0843
"25821448@N04",4.8913,45.722,21,11,8,2008,2.827919989E9,"dog,chien,perro,hund,dormir,nuit,lupin,lunette,repos,berger,lapinporokoira,lapskvallhund,finnois,lapponianherder,bergerfinnoisdelaponie,lapinporkoira","Voilà, le vrai coin nuit de Lupin...en boule pour sendormir",38,19,4,9,2008,"http://farm4.staticflickr.com/3186/2827919989_ce5b4cf4ae_t.jpg",6.9897
"25821448@N04",4.8985,45.723,23,21,6,2008,2.598882268E9,"dog,chien,perro,hund,chiot,lapin,berger,lapinporokoira,parilly,laponie,lapskvallhund,finnois,lapponianherder,bergerfinnoisdelaponie","Les lapins du parc",12,21,21,6,2008,"http://farm4.staticflickr.com/3002/2598882268_c43dcf3a1c_t.jpg",7.0
